Symbol,Name
BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
BNB-USD,BNB
XRP-USD,XRP
SOL-USD,Solana
USDC-USD,USDC
TRX-USD,TRON
DOGE-USD,Dogecoin
ADA-USD,Cardano
BCH-USD,Bitcoin Cash
XMR-USD,Monero
LINK-USD,Chainlink
LEO-USD,UNUS SED LEO
HYPE-USD,Hyperliquid
XLM-USD,Stellar
SUI-USD,Sui
ZEC-USD,Zcash
USDE-USD,Ethena USDe
AVAX-USD,Avalanche
LTC-USD,Litecoin
DAI-USD,Dai
HBAR-USD,Hedera
SHIB-USD,Shiba Inu
CC-USD,Canton
WLFI-USD,World Liberty Financial
TON-USD,Toncoin
CRO-USD,Cronos
PYUSD-USD,PayPal USD
DOT-USD,Polkadot
USD1-USD,World Liberty Financial USD
UNI-USD,Uniswap
MNT-USD,Mantle
TAO-USD,Bittensor
AAVE-USD,Aave
BGB-USD,Bitget Token
PEPE-USD,Pepe
OKB-USD,OKB
ICP-USD,Internet Computer
NEAR-USD,NEAR Protocol
M-USD,MemeCore
ETC-USD,Ethereum Classic
XAUT-USD,Tether Gold
ASTER-USD,Aster
PAXG-USD,PAX Gold
ENA-USD,Ethena
PI-USD,Pi
USDG-USD,Global Dollar
POL-USD,Polygon
WLD-USD,Worldcoin
